word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
rush hour traffic jams,,tắc đường giờ cao điểm,"the time when most people are travelling to or from
work/school and so there is too much traffic on the roads.","If factories and offices introduced flexible working hours, this
would help employees to avoid rush hour traffic jams to get to or from
their place of work.","Nếu các nhà máy và văn phòng đưa ra giờ làm việc linh hoạt thì sẽ
giúp cho nhân viên tránh được tắc đường giờ cao điểm khi đi hay đi làm
về.",phrase,IELTS
park and ride,,bãi đỗ xe ngoại vi,"a system designed to reduce traffic in towns, in which people
park their cars on the edge of a town and then take a special bus or train
to the town centre","A park and ride scheme would be very effective in reducing the
number of cars in city centres.","Việc tạo lập bãi đỗ xe ngoại vi sẽ rất hiệu quả trong việc giảm lượng
xe ô tô trong trung tâm thành phố.",phrase,IELTS
to subsidize the cost of fares,,trợ giá vé,"to give money to a business or organization to help to pay for
the cost of using public transport","Governments must subsidize the cost of fares on public
transport.",Nhà nước cần trợ giá vé các phương tiện giao thông công cộng.,phrase,IELTS
to ease traffic flow,,giảm lưu lượng giao thông,to enable traffic to move more easily,"The introduction of bus and cycle lanes would help to ease
traffic flow in city centres.","Việc dành đường ưu tiên cho xe bus và xe đạp sẽ giúp giảm lưu
lượng giao thông tại các trung tâm thành phố.",phrase,IELTS
commuting times,,thời gian đi lại,the time taken travelling to and from work,"Firms should introduce flexible working hours to cut the
commuting times of employees.","Các doanh nghiệp nên đưa ra thời gian làm việc linh hoạt để giảm
bớt thời gian đi lại cho nhân viên.",phrase,IELTS
off-peak travel,,di chuyển ngoài giờ cao điểm,travel at times when fewer people are using public transport,Cheap fares should be introduced for off-peak travel.,Nên đưa ra giá vé rẻ cho việc di chuyển ngoài giờ cao điểm.,phrase,IELTS
to grind to a halt,,chầm chậm dừng lại,to go slower and then stop completely,"In my city, Paris, traffic regularly grinds to a halt during the rush
hour.","Trong thành phố Paris, các phương tiện thường đi chầm chậm rồi
dừng hẳn vào giờ cao điểm.",phrase,IELTS
congestion charge,,Phí ùn tắc,"an amount of money that people have to pay for driving their
cars into the centre of some cities, as a way of stopping the city centre
from becoming too full of traffic","More cities should follow the example of London and introduce a
congestion charge in order to ease traffic flow in the city centre.","Ngày càng nhiều thành phố đi theo London và đưa ra phí ùn tắc để
giảm lưu lượng giao thông trong thành phố.",phrase,IELTS
a traffic warden,,người giám sát giao thông,"a person whose job is to check that people do not park their
cars in the wrong place or for longer than is allowed","More traffic wardens should be appointed to ensure that cars
are parked only in permitted areas.","Thành phố cử ra nhiều cảnh sát giám sát giao thông hơn để đảm
bảo ô tô đỗ đúng nơi cho phép.
19.road safety measures
Meaning: actions to ensure that the roads are made safer
Example: The number of deaths on the roads would be reduced if the
authorities introduced stricter road safety measures.
Dịch đại ý
Road safety measures: các biện pháp an toàn giao thông đường bộ
Nghĩa: Số người tử vong trên đường bộ sẽ giảm đi nếu chính quyền đưa
ra các biện pháp an toàn giao thông đường bộ chặt chẽ hơn.",phrase,IELTS
to conduct regular vehicle inspections,,"kiểm duyệt phương tiện thường
xuyên","to inspect all cars, buses and trucks at regular intervals to check
that they are in good condition and safe to drive","Every town and city should have centres which conduct regular
vehicle inspections.",,phrase,IELTS
to install speed cameras,,cài đặt camera tốc độ,"to put cameras on certain roads to check that cars are obeying
the speed limits.","Local authorities must instal speed cameras near all schools and
hospitals to limit the speed at which vehicles are allowed to travel.","Chính quyền địa phương phải cài đặt camera tốc độ gần mọi
trường học và bệnh viện để hạn chế tốc độ ở nơi phương tiện được phép
di chuyển.",phrase,IELTS
traffic calming,,điều hòa giao thông,"building raised areas on roads, as a way of making cars go more
slowly","Traffic calming meaures in towns and cities would make the
roads safer for pedestrians and cyclists.","Các biện pháp điều hòa giao thông trong thành phố sẽ giúp đường
phố an toàn hơn cho người đi bộ và người đi xe đạp.",phrase,IELTS
driving while intoxicated,,lái xe khi say rượu,the crime of driving a vehicle after drinking too much alcohol,"Driving while intoxicated is a serious crime, and those who
drive while under the influence of drink must be severely punished.","Lái xe khi say rượu là một tội nặng và những người đó cần bị trừng
phạt nghiêm khắc.",phrase,IELTS
to raise petrol prices,,tăng giá xăng,to increase the price which people pay for petrol,"Raising petrol prices would not be an effective method of
reducing the amount of traffic on the roads.","Tăng giá xe không phải là một biện pháp hiệu quả để giảm lượng
phương tiện di chuyển trên đường.",phrase,IELTS
to be punctual,,đúng giờ,to arrive at the correct time,"In order to attract more people to use public transport, it is
essential that it is clean, reliable, safe and punctual.","Để thu hút nhiều người sử dụng phương tiện công cộng hơn, cần
phải giữ cho phương tiện đó sạch sẽ, an toàn, tiện lợi và đúng giờ.",phrase,IELTS
freight services,,dịch vụ chở hàng,the system of transporting goods,"Railways must provide more freight services in order to reduce
the number of trucks on the roads.","Các đường ray cần cung cấp nhiều dịch vụ chở hàng hơn để giảm
lượng xe tải trên đường.",phrase,IELTS
a tachograph,,đồng hồ tốc độ,"a device used to measure the speed of trucks and to record the
times when a driver has stopped to rest","In the interests of road safety, tachographs should be installed
in all trucks to ensure that long-distance drivers are taking regular rest
periods.","Trong vấn đề giao thông đường bộ, đồng hồ tốc độ cần được cài
đặt ở tất cả các xe tải để đảm bảo những lái xe đường dài nghỉ ngơi
thường xuyên.",phrase,IELTS
roll-on roll-off ferries,,"phà ro ro (loại phà được thiết kế để chở các loại
hàng hóa có bánh xe như ô tô, rơ móc, toa xe hoả)",ships designed so that you can simply drive a car on and off the ship,"Many motorists use roll-on roll-off ferries to take their cars
overseas.",Rất nhiều người lái xe sử dụng phà ro-ro để đưa ô tô qua biển.,phrase,IELTS
economy airlines/budget airlines,,hàng không giá rẻ,companies which offer cheap flights,"Budget airlines have made it affordable for people to go on
holiday or to visit relatives in other countries.","Hàng không giá rẻ đã giúp cho mọi người có thể đi du lịch và thăm
thân ở nước ngoài.",phrase,IELTS
online booking,,đặt trước trực tuyến,"the action of buying a ticket on the internet in order to travel
somewhere","Long-distance bus and train services are now more convenient to
use, as a result of their online booking facilities which enable travellers to
reserve and pay for their tickets from home or from work.","Xe bus và tàu đường xa bây giờ thuận tiện hơn nhiều nhờ có các
thiết bị cho phép đặt vé trực tuyến, cho phép người dùng đặt trước và trả
tiền vé ngay tại nhà hoặc nơi làm việc.",phrase,IELTS
Labor productivity,,năng suất lao động,"the rate at which a worker, a company or a country produces
goods, and the amount produced, compared with how much time, work
and money is needed to produce them",Wage rates depend on levels of labor productivity.,Tỉ lệ tiền lương phụ thuộc vào mức năng suất lao động.,phrase,IELTS
Unemployment benefits,,trợ cấp thất nghiệp,"money paid by the government to somebody who is
unemployed","In times of economic crisis, the amount paid in unemployment
benefits is an added burden on the government budget.","Vào thời gian khủng hoảng kinh tế, tiền trợ cấp thất nghiệp là một
gánh nặng thêm vào cho ngân sách chính phủ.",phrase,IELTS
To acquire experience/knowledge/skill:,,"có được kinh nghiệm, kỹ năng","to gain experience/knowledge/skill by your own efforts or
behavior","Some school leavers prefer to acquire experience working in a
chosen profession rather than entering university.","Một số người tốt nghiệp cấp 3 thích có được kinh nghiệm làm việc ở
một nghề nghiệp nhất định hơn là học đại học.",phrase,IELTS
Put knowledge gained into practice,,áp dụng kiến thức đã học vào thực tế,to put to practical use the knowledge that you have acquired,"Vocational training courses enable students to put the
knowledge gained during their studies into practice.","Các khóa học đào tạo nghề cho phép học sinh sử dụng kiến thức đã
học vào thực tiễn.",phrase,IELTS
Minimum wage,,lương tối thiểu,the lowest wage that an employer is allowed to pay by law,"A minimum wage is necessary in order to ensure a decent
standard of living for low-paid workers.","Mức lương tối thiểu là cần thiết để đảm bảo mức sống tử tế cho
những công nhân lương thấp.",phrase,IELTS
To job-share,,chia sẻ công việc,"to share the hours of work and the pay of one job between two
people","Many employers are willing to employ people part-time or allow
them to job-share, as long as the duties of each person are clear.","Nhiều ông chủ sẵn sàng thuê nhân viên bán thời gian hoặc cho
phép chia sẻ công việc, miễn là nhiệm vụ của mỗi người rõ ràng.",phrase,IELTS
Flexible working hours,,thời gian làm việc linh hoạt,"hours of work that can be changed by agreement between the
employer and the employee","For some employees, flexible working hours are more
important even than a high salary.","Với một số nhân viên, thời gian làm việc linh hoạt quan trọng hơn cả
mức lương cao.",phrase,IELTS
Health and safety in the workplace,,an toàn và sức khỏe tại nơi làm việc,"Conditions which are safe and are not a danger to health in
factories, offices or other places where people work","Government inspectors should regularly monitor companies to
ensure that standards of health and safety in the workplace are
observed.","Thanh tra chính phủ nên giám sát các công ty thường xuyên để đảm
bảo tiêu chuẩn về an toàn và sức khỏe tại nơi làm việc.",phrase,IELTS
Working mothers,,những bà mẹ làm việc,"Mothers who have to go out to work as well as to look after
children","Workplace practices such as job-sharing and flexible working
hours have made life easier for working mothers.","Những nơi làm việc cho phép chia sẻ công việc và thời gian làm việc
linh hoạt đã giúp những bà mẹ phải làm việc có cuộc sống dễ dàng hơn.",phrase,IELTS
To take early retirement,,nghỉ hưu sớm,"to stop working before reaching the age at which people usually
stop working","Older employees should take early retirement to give young
people a better chance to find work.","Những người công nhân già nên nghỉ hưu sớm để cho những người
trẻ cơ hội tìm việc làm tốt hơn.",phrase,IELTS
Aretirement package,,chế độ hưu trí,"the money or other benefits that you receive from a company or
organization when you stop working there because of your age","Companies who value their employees should offer a generous
retirement package.","Những công ty trân trọng nhân viên thường đưa ra chế độ hưu trí
rộng rãi.",phrase,IELTS
Holiday entitlement,,số ngày nghỉ phép,the number of days off work that you are allowed as holidays,"It is important to know the holiday entitlement before
accepting a job.","Quan trọng là biết được số ngày nghỉ phép trước khi nhận một công
việc.",phrase,IELTS
Sick leave,,nghỉ ốm,permission to stay away from work because of illness or injury,"Important factors when choosing a job include holiday
entitlement, sick leave and a company pension scheme.","Những yếu tố quan trọng khi lựa chọn công việc bao gồm số ngày
nghỉ phép, nghỉ ốm và chế độ lương hưu.",phrase,IELTS
Annual leave,,kì nghỉ hàng năm,"a period of time when you are allowed to be away from work for
a holiday/vacation","Parents often take their annual leave at the same time as the
long school holidays.","Cha mẹ thường dùng ngày nghỉ hàng năm cùng thời gian với kỳ
nghỉ dài của trường học.",phrase,IELTS
Job prospects,,triển vọng công việc,"the chances of being successful and having more opportunities
at work","People with qualifications and experience usually have the best
job prospects.","Những người có bằng cấp và kinh nghiệm thường có triển vọng
công việc tốt hơn.",phrase,IELTS
Promotion opportunities,,cơ hội thăng tiến,"chances to move to a more important position in a company or
organization","Perhaps the most important factor when choosing a job are the
promotion opportunities/promotion prospects.","Có lẽ yếu tố quan trọng nhất khi lựa chọn công việc là cơ hội thăng
tiến hay triển vọng công việc.",phrase,IELTS
To move up the career ladder,,bước cao hơn trong nấc thang sự nghiệp,a series of stages by which you can make progress in your career,"Ambitious employees look for a job in which there is a chance to
move up the career ladder.","Những nhân viên tham vọng thường tìm một công việc có thể bước
cao hơn trong nấc thang sự nghiệp.",phrase,IELTS
To pursue a successful career,,theo đuổi sự nghiệp thành đạt,"to have a series of jobs in a particular area of work, with more
responsibility as time passes","While many people wish to pursue a successful career, for
others it is more important to find work which is interesting and enjoyable.","Trong khi nhiều người mong muốn theo đuổi sự nghiệp thành đạt,
một số người khác việc tìm một công việc thú vị lại quan trọng hơn.",phrase,IELTS
To take a career break,,nghỉ việc một thời gian (sẽ quay lại làm việc),"a period of time when you do not do your usual job, for
example because you have children to care for","Some companies offer female employees the opportunity to
take a career break for a few years if they have young children to care
for.","Một số công ty cho phép nữ nhân viên nghỉ việc trong vài năm nếu
họ có con nhỏ cần chăm sóc.",phrase,IELTS
To have no career ambitions,,không có tham vọng trong sự nghiệp,"to have no desire to be successful or to move up the career
ladder","Those who are content to do the same job and have no career
ambitions are often happier in their work and do not suffer from stress.","Những người hài lòng khi làm cùng một công việc và không có
tham vọng trong sự nghiệp thường hạnh phúc hơn với công việc của họ
và không phải chịu áp lực nào.",phrase,IELTS
Job satisfaction,,sự hài lòng trong công việc,"the good feeling that you get when you have a job that you
enjoy","A high salary is not necessarily the most important factor in job
satisfaction.","Mức lương cao không phải yếu tố quan trọng nhất về sự hài lòng
trong công việc.",phrase,IELTS
Working environment,,môi trường làm việc,the conditions that you work in,"If work is to be enjoyable, then a friendly working environment
is essential.","Nếu muốn hưởng thụ công việc, thì một môi trường làm việc thân
thiện là rất cần thiết.",phrase,IELTS
Supportive work colleagues,,đồng nghiệp nhiệt tình hỗ trợ,"people that you work with who give you help and
encouragement","A very important aspect of job satisfaction is having supportive
work colleagues.","Một khía cạnh quan trọng của sự hài lòng trong công việc là có
những đồng nghiệp nhiệt tình hỗ trợ.",phrase,IELTS
To be a good team player,,làm việc nhóm tốt,to be cooperative and work well as a member of a team,"In the modern working environment, it is important to be a
good team player and communicate with colleagues.",,phrase,IELTS
A heavy workload,,khối lượng công việc lớn,a lot of work that an individual employee has to perform,"While some people enjoy the challenge of a heavy workload,
others find too much work very stressful.","Trong khi một số người rất thích bị thách thức với khối lượng công
việc lớn, những người khác lại thấy như thế rất áp lực.",phrase,IELTS
Labour-intensive,,cần nhiều lao động,(of work) needing a lot of people to do it,"New technology has replaced the need for workers to do many
labour-intensive jobs, such as producing cars.","Công nghệ mới đã thay thế nhu cầu về lao động để làm những công
việc cần nhiều nhân công, như sản xuất ô tô.",phrase,IELTS
An internship,,kỳ thực tập,"a period of time in which a student or new graduate gets
practical experience in a job","In order to gain essential professional experience, graduates
should do an internship if they have the opportunity.","Để có được kinh nghiệm làm việc cần thiết, những người mới tốt
nghiệp cần thực tập khi có thời gian.",phrase,IELTS
A desk job,,công việc văn phòng,"a job in an office, where you sit and work all day at a table or
desk","Many young people enjoy the excitement of a dangerous
profession to the boring routine of a desk job.","Nhiều người thích những việc nguy hiểm, hào hứng hơn là việc văn
phòng nhàm chán.",phrase,IELTS
To have a steady job,,có công việc ổn định,"to have a job which you are unlikely to lose, but which is usually
the same routine","Although some people prefer to change jobs, others prefer to
have a steady job and a set daily routine at work.","Dù một số người thích thay đổi công việc, những người khác lại
thích công việc ổn định và làm việc hang ngày như nhau hơn.",phrase,IELTS
To dismiss somebody (from something),,sa thải ai đó,to officially remove somebody from their job,"Employment legislation prevents employers from dismissingan
employee without a good reason.",Luật lao động ngăn những ông chủ sa thải nhân viên một cách vô lý.,phrase,IELTS
to hide one's light under a bushel,,giấu taì,to conceal one's talents and skills,"Please don't hide your light under a bushel—the Society needs
your valuable expertise.","Xin đừng che giấu tài năng của anh – xã hội cần những kiến thức vô
giá của anh.",phrase,IELTS
to throw a tantrum,,tức giận vô cớ,to become very angry and unreasonable,"When you are a grown-up, you don't throw a tantrum if
something offends you, you discuss it.","Khi đã là một người trưởng thành, bạn sẽ không còn tức giận vô cớ
nếu có gì không vừa lòng, mà sẽ thẳng thắn nói về điều đó.",phrase,IELTS
to stamp one's mark on sth,,để lại dấu ấn cá nhân,"to affect or change something in a way that allows people to
recognize one's influence",She has stamped her own mark on the British film industry.,"Cô ấy đã để lại dấu ấn cá nhân trong ngành công nghiệp điện ảnh
của nước Anh.",phrase,IELTS
a clash of personalities,,sự bất đồng về tính cách,"a situation in which two people disagree because they have very
different personalities","There had been a clash of personalities between the two
leaders over the question of defence policy.","Hai vị lãnh đạo có sự trái ngược về tính cách khi nói về chiến lược
phòng thủ.",phrase,IELTS
to have a superiority complex,,"phức cảm tự tôn (ngược với phức cảm tự ti
– inferiority complex)",to have a feeling that one is superior to others,"She has a superiority complex, imagining that she is somehow
better at everything than her classmates.","Cô ấy có phức cảm tự tôn, ảo tưởng rằng cô ấy tốt hơn về mọi mặt
so với các bạn cùng lớp.",phrase,IELTS
to hear something through the grapevine,,nghe đồn,"to hear news from someone who heard that news from someone
else, to learn of something informally and unofficially by means of gossip
or rumor.","Never believe the gossip that you hear through the grapevine –
always try to find the truth from an official source.","đừng bao giờ tin vào những lời đồn đại bạn nghe được mà hãy luôn
tìm kiếm sự kiếm từ nguồn tin đáng tin cậy.",phrase,IELTS
to act one's age,,"cư xử đúng mực, đúng lứa tuổi",to behave in a way suitable for someone as old as you are,"During the most recent years of her career, Madonna has faced
criticism for her revealing outfits, her outrageous performances and her
decision to collaborate with her younger contemporary contemporaries,
with many calling for her to “act her age”.","Trong những năm gần đây của sự nghiệp ca hát, Madonna phải đối
diện với rất nhiều sự chỉ trích phê bình về trang phục biểu diễn hở hang,
những bài trình diễn phản cảm và quyết định yêu người kém hơn nhiều
tuổi, và nhiều người kêu gọi cô ấy hãy cư xử đúng tuổi.",phrase,IELTS
codes of conduct,,quy tắc xứng xử,voluntary rules which people accept in a situation,"The Code of Conduct is voluntary but it is seen as a sign of best
practice.","Bộ quy tắc ứng xử là tự nguyện nhưng nó được coi là tiêu chuẩn
thực hiện.",phrase,IELTS
to assimilate knowledge,,tiếp nhận kiến thức,to absorb and understand knowledge,"Some people claim that children assimilate knowledge more
easily than adults, citing studies into the way that young children learn.","Một số người khẳng định rằng trẻ em tiếp thu kiến thức dễ dàng
hơn người lớn, căn cứ vào những nghiên cứu về cách trẻ nhỏ học tập.",phrase,IELTS
to marshal facts,,đưa ra lập luận,to organise facts in support of an idea,"His tutor asked him to marshal facts on the history of China in
preparation for the exam.","Gia sư của anh ta yêu cầu anh ta đưa ra quan điểm, lập luận về lịch
sử của Trung Quốc để chuẩn bị cho kì thi",phrase,IELTS
to be a team player,,người giỏi làm việc nhóm,a person who willingly cooperates with others,"Employees who are good team players are more likely to be
selected for promotion.","Những nhân viên có khả năng làm việc tốt sẽ có nhiều cơ hội được
chọn để thăng tiến hơn.",phrase,IELTS
the downfall of communication,,suy giảm giao tiếp,the decline of communication,"Texting and social media are causing the downfall of society's
interpersonal communication.","Tin nhắn và các phương tiện truyền thông khác đang gây ra sự suy
giảm trong giao tiếp trực tiếp giữa người với người trong xã hội.",phrase,IELTS
a breakdown in communication,,ngưng trệ giao tiếp (thất bại/ gián đoạn),"a misunderstanding which results from people failing to discuss
and resolve something","The dispute between the workers and the employer was the
result of a breakdown in communication over wages.","Mâu thuẫn giữa công nhân và ông chủ là do sự thất bại trong giao
tiếp về mức lương.",phrase,IELTS
to live in harmony with one another,,sống hòa hợp với người khác,to live with others in a way which avoids conflict or disagreement,"The students who share the house are all good friends and they
are able to live in harmony with one another.","Sinh viên sống cùng một nhà là những người bạn thân và họ có thể
sống hòa hợp với nhau.",phrase,IELTS
to keep abreast of something,,cập nhật tin tức,to have the most recent information about something,"This new service helps doctors keep abreast of the newest drugs
available.","Dịch vụ mới cho phép bác sĩ cập nhật tin tức về những loại thuốc
mới nhất.",phrase,IELTS
to accelerate the flow of information,,tăng tốc độ thông tin,"to spread information with a higher speed to create faster
response times and more accurate interactions","The new software, Wildtech, is intended to help accelerate the
flowof information among scientists, and forest and wildlife managers.","Phần mềm mới mang tên Wildtech là để giúp tăng tốc độ lan truyền
thông tin giữa những nhà khoa học với người quản lí rừng và khu bảo tồn
hoang dã.",phrase,IELTS
behind the times,,lỗi thời,"refers to a person who is old-fashioned and has not adopted
certain modern customs, beliefs, or behaviors","He was angry when they said that his accounting methods were
behind the times because he did not use computer software.","Anh ta rất tức giận khi họ nói những phương thức kế toán của anh
ta đã lỗi thời vì anh ta không sử dụng phần mềm máy tính.",phrase,IELTS
set in his or her ways,,bảo thủ,"A person who is set in his or her ways is stubborn and
committed to their current way of doing things. They aren't open to
changing, even if the change would be an improvement","As people get older, they often become set in their ways and
are reluctant to try anything new.","Khi lớn tuổi, người ta thường trở nên bảo thủ và rất ngại thay đổi.",phrase,IELTS
a social butterfly,,người giao thiệp rộng,refers to an extroverted person who loves to socialize,"A social butterfly is a person who is socially dynamic,
networking, charismatic, and personally gregarious.","Một người giao thiệp rộng là một người năng động, lôi cuốn và
thích giao du.",phrase,IELTS
a stickler for sth,,"người câu nệ, khắt khe về cái gì","Someone who is a “stickler for something” is a person who
strongly insists on that quality or behavior, and wants or expects other
people to maintain the same standard","The author described himself as a stickler for details, who loves
things done right the first time.","Tác gia đó tự mô tả bản thân là một người câu nệ chi tiết, người
muốn mọi thứ phải hoàn hảo ngay từ lần đầu tiên.",phrase,IELTS
to be user-friendly,,,"to be easy to use, without a need for advanced skills","One feature of modern communications technology is that, in
general, it is user-friendly.
Dịch dại ý
To be user-friendly: thân thiện với người dùng","Một trong những đặc điểm chung của công nghệ giao tiếp hiện đại
là chúng khá thân thiện với người dùng.",phrase,IELTS
social networking sites,,mạng xã hội,"a website on which you communicate with people who share
your interests","Young people today waste too much time on social networking
sites such as Facebook or Twitter","Người trẻ hiện nay thường lãng phí quá nhiều thời gian vào các
trang mạng xã hội như Facebook hay Twitter.",phrase,IELTS
to break off a relationship/to break off negotiations,,cắt đứt đàm phán,to end something suddenly,"The US and China broke off negotiations earlier today on the
new trade agreement.","Mỹ và Trung Quốc đột ngột cắt đứt đàm phán ngày hôm nay về
hiệp định thương mại mới.",phrase,IELTS
to reach a stalemate/to reach deadlock,,"đình trệ, bế tắc",a disagreement in which neither side is able to find a solution,"The talks between the superpowers broke up when both sides
reached deadlock over important issues.","Cuộ nói chuyện giữa các bên đã thất bại khi cả 2 bên đều bế tắc ở
những vấn đề quan trọng.",phrase,IELTS
to have social skills,,kỹ năng xã hội tốt,"to have
the
personal
skills
required
for
successfully
communication and interaction","In all jobs which involve dealing with the public, it is important
tohave good social skills.","Mọi công việc liên quan đến quan hệ quần chúng đều yêu cầu kỹ
năng xã hội tốt.",phrase,IELTS
to have a laid-back attitude,,"thư giãn, thả lỏng, thong thả","relaxed, not worrying about anything","Our teacher had a laid-back attitude in the classroom, but she
was always well-prepared and committed to her students.","Cô giáo chúng tỗi có vẻ rất thong thả trong lớp, nhưng cô ấy luôn
chuẩn bị kĩ và hết mình với học sinh.",phrase,IELTS
to be a workaholic/a shopaholic,,nghiện công việc/ mua sắm,"a person who spends too much time working/too much time
shopping","Although I take my studies seriously, I would not describe myself
as a workaholic, because I have other interests too.","Dù tôi học rất chăm chỉ, tôi không nghĩ mình là người nghiện công
việc vì tôi còn những thú vui khác nữa.",phrase,IELTS
to see the big picture,,nhìn nhận một cách toàn diện,to understand all the important aspects of a situation,"Students sometimes get confused with so many details to
remember, but our history teacher is able to make us see the big picture.","Sinh viên đôi khi gặp khó khăn khi có quá nhiều chi tiết phải nhớ,
nhưng cô giáo lịch sử luôn giúp chúng tôi khái quát được vấn đề.",phrase,IELTS
to be generous/helpful to a fault,,nhiệt tình giúp đỡ,"to be very generous/helpful to others, even when it can cause
problems for oneself","My parents are generous to a fault, and they have helped me a
lot with my education.",Cha mẹ tôi rất nhiệt tình và họ đã giúp tôi rất nhiều trong việc học.,phrase,IELTS
to make small talk/to exchange pleasantries,,nói chuyện xã giao,"to talk in a polite way about unimportant matters such as the
weather","I enjoy a serious discussion and I don't like to make small talk
or exchange pleasantries with others simply in order to be polite.","Tôi thích những cuộc nói chuyện nghiêm túc chứ không thích nói
chuyện xã giao với người khác chỉ vì phép lịch sự.",phrase,IELTS
crime of passion,,"đánh ghen, tội do ghen tuông","refers to a crime, especially murder, caused by sexual jealousy","People who carry out crimes of passion often regret their
actions later, when they reflect on what they have done.","Những người phạm tội do ghen tuông sau đó thường rất hối hận
khi nghĩ lại những gì đã làm.",phrase,IELTS
to serve a prison sentence,,thi hành án,to carry out confinement in prison as a punishment,"They are serving long prison sentences for their part in the
assassination.",Họ phải chịu mức tù phạt dài vì tham gia vào vụ ám sát.,phrase,IELTS
to turn to crime/ drugs,,bắt đầu phạm tội/ dùng thuốc,To start committing crimes or using drugs.,"During periods of high youth unemployment, some youngsters
turn to crime to obtain money.","Trong thời gian còn trẻ mà thất nghiệp, nhiều người trẻ bắt đầu dấn
thân vào con đường tội phạm để kiếm tiền.",phrase,IELTS
to be tough on crime,,phạt nặng,To punish crime severely,"The crime rate is likely to fall if governments take strong
measures to be tough on crime.","Tỉ lệ tội phạm chắc chắn sẽ giảm nếu chính phủ có những biện pháp
mạnh tay và đưa ra hình phạt nghiêm khắc với những kẻ phạm tội.",phrase,IELTS
to contestthe verdict,,phản đối quyết định của tòa án/ chống án,not agree with the decision of the jury after the trial of a case,"In many countries, the accused person has the right to contest
theverdict which was reached in the court.","Ở nhiều nước, bị cáo có quyền phản đối quyết định của tòa khi đưa
ra xét xử.",phrase,IELTS
to take into consideration,,xem xét,"to think about a particular fact or detail and allow it to have
some influence when you are making a decision","The previous criminal records of those who are found guilty must
be taken into consideration when a sentence is passed.",Cần xem xét tiền án tiền sự của những kẻ phạm tội.,phrase,IELTS
to reintegrate back into society/ community,,tái hòa nhập cộng động,to restore someone through education or therapy,"There is an increasing focus among policy-makers and
practitioners on identifying programs and strategies that will help
prisoners successfully reintegrate back into their communities without
re-offending.","Các nhà hoạch định chính sách và những người thực hiện đang tập
trung vào việc xác định các chương trình và chiến lược giúp người phạm
tội tái hòa nhập cộng đồng thành công.",phrase,IELTS
to be soft on crime,,phạt nhẹ,not to impose strict punishments on offenders,"In order to deter criminals effectively, governments must not
follow policies which are soft on crime.","Để giảm thiểu tội phạm một cách hiệu quả, chính phủ không nên
nhẹ tay với những kẻ phạm tội.",phrase,IELTS
a policy of zero tolerance,,chính sách không khoan nhượng,"a policy of applying laws very strictly, so that every illegal action
is punished, even if it is not very serious","I would argue that the most effective way to reduce crime is to
implement a policy of zero tolerance.","Tôi cho rằng cách hiệu quả nhất để giảm thiểu tội phạm là thực thi
chính sách không khoan nhượng.",phrase,IELTS
a chance of rehabilitation,,cơ hội tái hòa nhập,"a chance of helping someone to have a normal life after serving
a prison sentence","We should give ex-offerders a chance of rehabilitation and
teach them how to become useful members of society.","Chúng ta nên cho những người từng phạm tội một cơ hội tái hòa
nhập cộng đồng và dạy họ cách trở thành những công dân có ích cho xã
hội.",phrase,IELTS
to embark on something,,dấn thân vào cái gì,To start something new,"Young people sometimes embark on a life of crime as a result of
the bad influence of criminals whom they know.","Đôi khi người trẻ dấn thân vào con đường tội phạm là do ảnh
hưởng xấu từ những kẻ phạm tội mà họ quen biết.",phrase,IELTS
to make a fresh start,,một khởi đầu mới,to try something new after making mistakes in one's life,"I believe that people should have the opportunity to make a
fresh start after they are released from prison.",Tôi tin rằng ai cũng có cơ hội làm lại cuộc đời sau khi ra tù.,phrase,IELTS
to act as a deterrent,,rào cản,a measure which makes somebody less likely to do something,"Longer prison sentences would act as a deterrent and would be
one useful measure to tackle rising crime.","Thời gian thi hành án dài hơn sẽ là rào cản và là một biện pháp hữu
hiệu để giải quyết vấn đề tệ nạn gia tăng.",phrase,IELTS
to release back into society.,,được thả tự do,to give freedom to prisoners who have finished their sentences.,"He was released back into society after serving two years of a
five-year sentence.","Anh ta được trả tự do sau khi được giảm án, chỉ thực hiện 2/5 năm
tù.",phrase,IELTS
corporal punishment,,hành hạ thể xác,to punish by physically harming the offender,"Many schools have abandoned the policy of corporal
punishment for children who misbehave and prefer to give extra work or
detention after school instead.","Nhiều trường học đã cấm việc trừng phạt bằng thể xác với những
học sinh mắc lỗi và hướng tới thay thế bằng cách giao việc làm thêm sau
giờ học.",phrase,IELTS
drug traffic-king,,mua bán ma túy,importing and selling illegal drugs,"Some people argue that legalising drugs would put an end to the
evil of drug traffic-king and the violence associated with it.","Một số người cho rằng hợp pháp hóa các loại thuốc sẽ chấm dứt
việc mua bán thuốc bất hợp pháp và các vấn đề liên quan.",phrase,IELTS
a non-custodial sentence,,không phải ở tù,a sentence which is not served in prison,"There is a wide range of non custodial sentences which a court
may give to offenders, including: fines, probation orders or community
service orders.","Có rất nhiều hình thức phạt một tòa án có thể đưa ra: phạt tiền, phạt
cấm và lao động công ích.",phrase,IELTS
to be found guilty,,có tội,the court decided that the person did commit the crime,"If people are found guilty of committing serious offences, heavy
punishments should be imposed.",Nếu phạm tội nghiêm trọng thì cần được trừng phạt thích đáng.,phrase,IELTS
